Method,n,k,elapsed
BruteForce,1024,8,4583
BruteForceIdiomatic,1024,8,3916
BruteForce,1024,16,11583
BruteForceIdiomatic,1024,16,10500
BruteForce,1024,32,33166
BruteForceIdiomatic,1024,32,31291
BruteForce,1024,64,95708
BruteForceIdiomatic,1024,64,87500
BruteForce,1024,128,227750
BruteForceIdiomatic,1024,128,225750
BruteForce,1024,256,436583
BruteForceIdiomatic,1024,256,434958
BruteForce,1024,512,613458
BruteForceIdiomatic,1024,512,612083
BruteForce,1024,1024,2500
BruteForceIdiomatic,1024,1024,2500
BruteForce,2048,8,9125
BruteForceIdiomatic,2048,8,7958
BruteForce,2048,16,23166
BruteForceIdiomatic,2048,16,21000
BruteForce,2048,32,67416
BruteForceIdiomatic,2048,32,63375
BruteForce,2048,64,186833
BruteForceIdiomatic,2048,64,180708
BruteForce,2048,128,487791
BruteForceIdiomatic,2048,128,483541
BruteForce,2048,256,1017875
BruteForceIdiomatic,2048,256,1014250
BruteForce,2048,512,1836916
BruteForceIdiomatic,2048,512,1836166
BruteForce,2048,1024,2514416
BruteForceIdiomatic,2048,1024,2508875
BruteForce,4096,8,18208
BruteForceIdiomatic,4096,8,15875
BruteForce,4096,16,46416
BruteForceIdiomatic,4096,16,42291
BruteForce,4096,32,135750
BruteForceIdiomatic,4096,32,127833
BruteForce,4096,64,401375
BruteForceIdiomatic,4096,64,367000
BruteForce,4096,128,1010291
BruteForceIdiomatic,4096,128,998750
BruteForce,4096,256,2183291
BruteForceIdiomatic,4096,256,2171083
BruteForce,4096,512,4288125
BruteForceIdiomatic,4096,512,4277291
BruteForce,4096,1024,7530166
BruteForceIdiomatic,4096,1024,7521583
BruteForce,8192,8,36500
BruteForceIdiomatic,8192,8,31625
BruteForce,8192,16,93041
BruteForceIdiomatic,8192,16,85208
BruteForce,8192,32,272708
BruteForceIdiomatic,8192,32,256208
BruteForce,8192,64,808916
BruteForceIdiomatic,8192,64,739625
BruteForce,8192,128,2050500
BruteForceIdiomatic,8192,128,2029875
BruteForce,8192,256,4510666
BruteForceIdiomatic,8192,256,4492750
BruteForce,8192,512,9215666
BruteForceIdiomatic,8192,512,9201708
BruteForce,8192,1024,17602541
BruteForceIdiomatic,8192,1024,17562250
BruteForce,16384,8,73291
BruteForceIdiomatic,16384,8,63541
BruteForce,16384,16,186791
BruteForceIdiomatic,16384,16,169208
BruteForce,16384,32,547000
BruteForceIdiomatic,16384,32,513000
BruteForce,16384,64,1547083
BruteForceIdiomatic,16384,64,1484750
BruteForce,16384,128,4130916
BruteForceIdiomatic,16384,128,4094250
BruteForce,16384,256,9166208
BruteForceIdiomatic,16384,256,9120291
BruteForce,16384,512,18982833
BruteForceIdiomatic,16384,512,18948083
BruteForce,16384,1024,37749666
BruteForceIdiomatic,16384,1024,37659708
BruteForce,32768,8,146083
BruteForceIdiomatic,32768,8,127041
BruteForce,32768,16,373666
BruteForceIdiomatic,32768,16,338500
BruteForce,32768,32,1095333
BruteForceIdiomatic,32768,32,1026625
BruteForce,32768,64,3214375
BruteForceIdiomatic,32768,64,2977833
BruteForce,32768,128,8296166
BruteForceIdiomatic,32768,128,8217666
BruteForce,32768,256,18475000
BruteForceIdiomatic,32768,256,18393916
BruteForce,32768,512,38585291
BruteForceIdiomatic,32768,512,38516708
BruteForce,32768,1024,77830208
BruteForceIdiomatic,32768,1024,77750291
BruteForce,65536,8,292208
BruteForceIdiomatic,65536,8,254083
BruteForce,65536,16,747750
BruteForceIdiomatic,65536,16,676708
BruteForce,65536,32,2194208
BruteForceIdiomatic,65536,32,2061541
BruteForce,65536,64,6210416
BruteForceIdiomatic,65536,64,5960250
BruteForce,65536,128,16623000
BruteForceIdiomatic,65536,128,16470750
BruteForce,65536,256,37087125
BruteForceIdiomatic,65536,256,36937625
BruteForce,65536,512,77826208
BruteForceIdiomatic,65536,512,77646625
BruteForce,65536,1024,158252833
BruteForceIdiomatic,65536,1024,157956333
BruteForce,131072,8,584916
BruteForceIdiomatic,131072,8,508291
BruteForce,131072,16,1496625
BruteForceIdiomatic,131072,16,1353458
BruteForce,131072,32,4387416
BruteForceIdiomatic,131072,32,4128833
BruteForce,131072,64,12566125
BruteForceIdiomatic,131072,64,11930000
BruteForce,131072,128,33290166
BruteForceIdiomatic,131072,128,32972541
BruteForce,131072,256,74330041
BruteForceIdiomatic,131072,256,74047458
BruteForce,131072,512,156237791
BruteForceIdiomatic,131072,512,155942333
BruteForce,131072,1024,318989500
BruteForceIdiomatic,131072,1024,318680291
