Method,n,k,elapsed
BruteForce,1024,8,936958
BruteForceIdiomatic,1024,8,765041
BruteForce,1024,16,1062416
BruteForceIdiomatic,1024,16,929250
BruteForce,1024,32,1433458
BruteForceIdiomatic,1024,32,1291875
BruteForce,1024,64,2102166
BruteForceIdiomatic,1024,64,2103416
BruteForce,1024,128,3772333
BruteForceIdiomatic,1024,128,3769833
BruteForce,1024,256,6330291
BruteForceIdiomatic,1024,256,6327041
BruteForce,1024,512,8349250
BruteForceIdiomatic,1024,512,8341166
BruteForce,1024,1024,32625
BruteForceIdiomatic,1024,1024,32708
BruteForce,2048,8,806333
BruteForceIdiomatic,2048,8,812500
BruteForce,2048,16,1336250
BruteForceIdiomatic,2048,16,1341791
BruteForce,2048,32,2360416
BruteForceIdiomatic,2048,32,2366625
BruteForce,2048,64,4339458
BruteForceIdiomatic,2048,64,4342166
BruteForce,2048,128,8072041
BruteForceIdiomatic,2048,128,8072083
BruteForce,2048,256,14770000
BruteForceIdiomatic,2048,256,14745458
BruteForce,2048,512,25036708
BruteForceIdiomatic,2048,512,25004083
BruteForce,2048,1024,33125125
BruteForceIdiomatic,2048,1024,33104500
BruteForce,4096,8,1616250
BruteForceIdiomatic,4096,8,1628625
BruteForce,4096,16,2680083
BruteForceIdiomatic,4096,16,2693458
BruteForce,4096,32,4762041
BruteForceIdiomatic,4096,32,4777375
BruteForce,4096,64,8885041
BruteForceIdiomatic,4096,64,8874333
BruteForce,4096,128,16795083
BruteForceIdiomatic,4096,128,16730375
BruteForce,4096,256,31710041
BruteForceIdiomatic,4096,256,31703125
BruteForce,4096,512,58642333
BruteForceIdiomatic,4096,512,58574375
BruteForce,4096,1024,99558000
BruteForceIdiomatic,4096,1024,99393083
BruteForce,8192,8,3233000
BruteForceIdiomatic,8192,8,3254333
BruteForce,8192,16,5369833
BruteForceIdiomatic,8192,16,5397333
BruteForce,8192,32,9551666
BruteForceIdiomatic,8192,32,9579541
BruteForce,8192,64,17783833
BruteForceIdiomatic,8192,64,17803958
BruteForce,8192,128,33960625
BruteForceIdiomatic,8192,128,33962958
BruteForce,8192,256,65393666
BruteForceIdiomatic,8192,256,65327833
BruteForce,8192,512,125141958
BruteForceIdiomatic,8192,512,124888833
BruteForce,8192,1024,232403833
BruteForceIdiomatic,8192,1024,231821916
BruteForce,16384,8,6483791
BruteForceIdiomatic,16384,8,6531416
BruteForce,16384,16,10755666
BruteForceIdiomatic,16384,16,10812291
BruteForce,16384,32,19139541
BruteForceIdiomatic,16384,32,19181458
BruteForce,16384,64,35745875
BruteForceIdiomatic,16384,64,35934166
BruteForce,16384,128,68494583
BruteForceIdiomatic,16384,128,68567125
BruteForce,16384,256,132942916
BruteForceIdiomatic,16384,256,132739750
BruteForce,16384,512,258715458
BruteForceIdiomatic,16384,512,258410375
BruteForce,16384,1024,497950791
BruteForceIdiomatic,16384,1024,497130500
BruteForce,32768,8,12964708
BruteForceIdiomatic,32768,8,13079125
BruteForce,32768,16,21538250
BruteForceIdiomatic,32768,16,21606375
BruteForce,32768,32,38340875
BruteForceIdiomatic,32768,32,38429375
BruteForce,32768,64,71557583
BruteForceIdiomatic,32768,64,71612041
BruteForce,32768,128,137373291
BruteForceIdiomatic,32768,128,137506000
BruteForce,32768,256,268030916
BruteForceIdiomatic,32768,256,267760291
BruteForce,32768,512,525971125
BruteForceIdiomatic,32768,512,525204833
BruteForce,32768,1024,1028904375
BruteForceIdiomatic,32768,1024,1027356375
BruteForce,65536,8,25963750
BruteForceIdiomatic,65536,8,26138291
BruteForce,65536,16,43054458
BruteForceIdiomatic,65536,16,43258958
BruteForce,65536,32,76729291
BruteForceIdiomatic,65536,32,76889000
BruteForce,65536,64,143253666
BruteForceIdiomatic,65536,64,143323291
BruteForce,65536,128,275315041
BruteForceIdiomatic,65536,128,275113666
BruteForce,65536,256,538175958
BruteForceIdiomatic,65536,256,538577291
BruteForce,65536,512,1059714625
BruteForceIdiomatic,65536,512,1058443875
BruteForce,65536,1024,2091830083
BruteForceIdiomatic,65536,1024,2094270375
BruteForce,131072,8,52111375
BruteForceIdiomatic,131072,8,52254875
BruteForce,131072,16,86333666
BruteForceIdiomatic,131072,16,86956125
BruteForce,131072,32,153568708
BruteForceIdiomatic,131072,32,153924750
BruteForce,131072,64,286642166
BruteForceIdiomatic,131072,64,288024083
BruteForce,131072,128,553663333
BruteForceIdiomatic,131072,128,551249166
BruteForce,131072,256,1078402916
BruteForceIdiomatic,131072,256,1081407375
BruteForce,131072,512,2128299875
BruteForceIdiomatic,131072,512,2126223041
BruteForce,131072,1024,4216229333
BruteForceIdiomatic,131072,1024,4209065708
