Method,n,k,elapsed
BruteForce,1024,8,4583
Heap,1024,8,23291
BST,1024,8,76083
Linear,1024,8,7375
BruteForce,1024,16,11541
Heap,1024,16,17333
BST,1024,16,85208
Linear,1024,16,8000
BruteForce,1024,32,33208
Heap,1024,32,10583
BST,1024,32,100291
Linear,1024,32,8041
BruteForce,1024,64,89625
Heap,1024,64,9625
BST,1024,64,105333
Linear,1024,64,8708
BruteForce,1024,128,227750
Heap,1024,128,8166
BST,1024,128,113916
Linear,1024,128,8833
BruteForce,1024,256,436541
Heap,1024,256,7958
BST,1024,256,123250
Linear,1024,256,8208
BruteForce,1024,512,613083
Heap,1024,512,4750
BST,1024,512,133166
Linear,1024,512,9333
BruteForce,1024,1024,2500
Heap,1024,1024,4958
BST,1024,1024,140833
Linear,1024,1024,8125
BruteForce,2048,8,9166
Heap,2048,8,74291
BST,2048,8,157833
Linear,2048,8,19291
BruteForce,2048,16,23125
Heap,2048,16,53458
BST,2048,16,186166
Linear,2048,16,20291
BruteForce,2048,32,67375
Heap,2048,32,36083
BST,2048,32,209000
Linear,2048,32,21500
BruteForce,2048,64,185083
Heap,2048,64,30000
BST,2048,64,228916
Linear,2048,64,22833
BruteForce,2048,128,487791
Heap,2048,128,28708
BST,2048,128,246166
Linear,2048,128,21750
BruteForce,2048,256,1017916
Heap,2048,256,15291
BST,2048,256,257833
Linear,2048,256,21875
BruteForce,2048,512,1837208
Heap,2048,512,26000
BST,2048,512,280541
Linear,2048,512,19666
BruteForce,2048,1024,2511666
Heap,2048,1024,16666
BST,2048,1024,284541
Linear,2048,1024,21708
BruteForce,4096,8,18208
Heap,4096,8,165500
BST,4096,8,327750
Linear,4096,8,48208
BruteForce,4096,16,46375
Heap,4096,16,130166
BST,4096,16,387166
Linear,4096,16,53000
BruteForce,4096,32,135833
Heap,4096,32,95875
BST,4096,32,432000
Linear,4096,32,53958
BruteForce,4096,64,376000
Heap,4096,64,71000
BST,4096,64,473541
Linear,4096,64,45791
BruteForce,4096,128,1007625
Heap,4096,128,65958
BST,4096,128,512583
Linear,4096,128,45583
BruteForce,4096,256,2180625
Heap,4096,256,58250
BST,4096,256,546833
Linear,4096,256,45583
BruteForce,4096,512,4285125
Heap,4096,512,55083
BST,4096,512,577708
Linear,4096,512,44541
BruteForce,4096,1024,7532875
Heap,4096,1024,58000
BST,4096,1024,594416
Linear,4096,1024,44750
BruteForce,8192,8,36458
Heap,8192,8,399083
BST,8192,8,661208
Linear,8192,8,103291
BruteForce,8192,16,93125
Heap,8192,16,272458
BST,8192,16,796250
Linear,8192,16,110500
BruteForce,8192,32,272541
Heap,8192,32,208875
BST,8192,32,897833
Linear,8192,32,103166
BruteForce,8192,64,757916
Heap,8192,64,151958
BST,8192,64,967250
Linear,8192,64,109000
BruteForce,8192,128,2050458
Heap,8192,128,142916
BST,8192,128,1060083
Linear,8192,128,108583
BruteForce,8192,256,4506333
Heap,8192,256,132750
BST,8192,256,1134208
Linear,8192,256,106291
BruteForce,8192,512,9187916
Heap,8192,512,130500
BST,8192,512,1186291
Linear,8192,512,103958
BruteForce,8192,1024,17574625
Heap,8192,1024,126041
BST,8192,1024,1284333
Linear,8192,1024,101375
BruteForce,16384,8,73333
Heap,16384,8,864541
BST,16384,8,1339375
Linear,16384,8,219875
BruteForce,16384,16,186958
Heap,16384,16,696708
BST,16384,16,1614708
Linear,16384,16,228666
BruteForce,16384,32,547166
Heap,16384,32,521833
BST,16384,32,1802458
Linear,16384,32,220166
BruteForce,16384,64,1522333
Heap,16384,64,364625
BST,16384,64,1949958
Linear,16384,64,226583
