Method,n,k,elapsed
BruteForce,1024,8,931375
Heap,1024,8,1308625
BST,1024,8,577208
Linear,1024,8,439750
BruteForce,1024,16,924500
Heap,1024,16,611750
BST,1024,16,471916
Linear,1024,16,389916
BruteForce,1024,32,1291625
Heap,1024,32,470541
BST,1024,32,401000
Linear,1024,32,318166
BruteForce,1024,64,2105083
Heap,1024,64,360791
BST,1024,64,421625
Linear,1024,64,318083
BruteForce,1024,128,3776958
Heap,1024,128,337375
BST,1024,128,439625
Linear,1024,128,314250
BruteForce,1024,256,6335291
Heap,1024,256,321541
BST,1024,256,439083
Linear,1024,256,307375
BruteForce,1024,512,8333291
Heap,1024,512,306791
BST,1024,512,420375
Linear,1024,512,291541
BruteForce,1024,1024,32583
Heap,1024,1024,280625
BST,1024,1024,344333
Linear,1024,1024,258958
BruteForce,2048,8,807666
Heap,2048,8,1726791
BST,2048,8,714541
Linear,2048,8,613041
BruteForce,2048,16,1334500
Heap,2048,16,1171125
BST,2048,16,766666
Linear,2048,16,627541
BruteForce,2048,32,2365750
Heap,2048,32,976250
BST,2048,32,804666
Linear,2048,32,634208
BruteForce,2048,64,4340041
Heap,2048,64,776000
BST,2048,64,848125
Linear,2048,64,636458
BruteForce,2048,128,8084791
Heap,2048,128,688333
BST,2048,128,895791
Linear,2048,128,634791
BruteForce,2048,256,14747833
Heap,2048,256,657625
BST,2048,256,947375
Linear,2048,256,627458
BruteForce,2048,512,25014833
Heap,2048,512,636458
BST,2048,512,936583
Linear,2048,512,610833
BruteForce,2048,1024,33169666
Heap,2048,1024,608125
BST,2048,1024,878500
Linear,2048,1024,580958
BruteForce,4096,8,1621166
Heap,4096,8,3729875
BST,4096,8,1433958
Linear,4096,8,1221541
BruteForce,4096,16,2682833
Heap,4096,16,2362416
BST,4096,16,1526458
Linear,4096,16,1247416
BruteForce,4096,32,4757291
Heap,4096,32,2146750
BST,4096,32,1614083
Linear,4096,32,1272208
BruteForce,4096,64,8831291
Heap,4096,64,1774833
BST,4096,64,1695541
Linear,4096,64,1273333
BruteForce,4096,128,16699041
Heap,4096,128,1460250
BST,4096,128,1791250
Linear,4096,128,1275125
BruteForce,4096,256,31614458
Heap,4096,256,1347458
BST,4096,256,1908416
Linear,4096,256,1267500
BruteForce,4096,512,58373000
Heap,4096,512,1293291
BST,4096,512,1942083
Linear,4096,512,1250166
BruteForce,4096,1024,99613125
Heap,4096,1024,1267125
BST,4096,1024,1963291
Linear,4096,1024,1220833
BruteForce,8192,8,3237291
Heap,8192,8,7646333
BST,8192,8,2877416
Linear,8192,8,2429125
BruteForce,8192,16,5376500
Heap,8192,16,5298416
BST,8192,16,3054166
Linear,8192,16,2500666
BruteForce,8192,32,9544625
Heap,8192,32,3918583
BST,8192,32,3227000
Linear,8192,32,2535958
BruteForce,8192,64,17793833
Heap,8192,64,3378041
BST,8192,64,3393166
Linear,8192,64,2546041
BruteForce,8192,128,33919250
Heap,8192,128,3014583
BST,8192,128,3606000
Linear,8192,128,2547791
BruteForce,8192,256,65330375
Heap,8192,256,2719416
BST,8192,256,3769291
Linear,8192,256,2546291
BruteForce,8192,512,125206958
Heap,8192,512,2677333
BST,8192,512,3963500
Linear,8192,512,2527541
BruteForce,8192,1024,232355458
Heap,8192,1024,2592916
BST,8192,1024,4079333
Linear,8192,1024,2505000
BruteForce,16384,8,6489000
Heap,16384,8,15947875
BST,16384,8,5742750
Linear,16384,8,4879541
BruteForce,16384,16,10768125
Heap,16384,16,12101250
BST,16384,16,6109750
Linear,16384,16,5006250
BruteForce,16384,32,19149000
Heap,16384,32,8975666
BST,16384,32,6448416
Linear,16384,32,5061458
BruteForce,16384,64,35676833
Heap,16384,64,6920375
BST,16384,64,6787791
Linear,16384,64,5092250
BruteForce,16384,128,68364750
Heap,16384,128,6101750
BST,16384,128,7204625
Linear,16384,128,5103291
BruteForce,16384,256,132939750
Heap,16384,256,5567625
BST,16384,256,7513958
Linear,16384,256,5101875
BruteForce,16384,512,258605666
Heap,16384,512,5405833
BST,16384,512,7856666
Linear,16384,512,5092583
BruteForce,16384,1024,497904875
Heap,16384,1024,5242041
BST,16384,1024,8296291
Linear,16384,1024,5064208
BruteForce,32768,8,12987250
Heap,32768,8,33801916
BST,32768,8,11507416
Linear,32768,8,9760250
BruteForce,32768,16,21552166
Heap,32768,16,24301583
BST,32768,16,12229625
Linear,32768,16,9995583
BruteForce,32768,32,38346250
Heap,32768,32,20293916
BST,32768,32,12917208
Linear,32768,32,10124708
BruteForce,32768,64,71527458
Heap,32768,64,13719125
BST,32768,64,13586708
Linear,32768,64,10183541
BruteForce,32768,128,137534125
Heap,32768,128,12484458
BST,32768,128,14350541
Linear,32768,128,10208041
BruteForce,32768,256,267992750
Heap,32768,256,11197500
BST,32768,256,15143708
Linear,32768,256,10190375
BruteForce,32768,512,525689208
Heap,32768,512,10833916
BST,32768,512,15964875
Linear,32768,512,10204166
BruteForce,32768,1024,1029046541
Heap,32768,1024,10583500
BST,32768,1024,17075750
Linear,32768,1024,10176750
BruteForce,65536,8,25919500
Heap,65536,8,68919041
BST,65536,8,22953291
Linear,65536,8,19479291
BruteForce,65536,16,43092291
Heap,65536,16,54563291
BST,65536,16,24470708
Linear,65536,16,19954625
BruteForce,65536,32,76690333
Heap,65536,32,40646541
BST,65536,32,25771458
Linear,65536,32,20223250
BruteForce,65536,64,143299458
Heap,65536,64,29970083
BST,65536,64,27186333
Linear,65536,64,20369416
BruteForce,65536,128,275474458
Heap,65536,128,25796791
BST,65536,128,28675833
Linear,65536,128,20350833
BruteForce,65536,256,538384875
Heap,65536,256,22937416
BST,65536,256,30421083
Linear,65536,256,20448625
BruteForce,65536,512,1060158541
Heap,65536,512,21826333
BST,65536,512,31534541
Linear,65536,512,20453583
BruteForce,65536,1024,2092208916
Heap,65536,1024,21341875
