Method,n,k,elapsed
BruteForce,1024,8,844791
Heap,1024,8,865750
BST,1024,8,589208
Linear,1024,8,358041
BruteForce,1024,16,902666
Heap,1024,16,638875
BST,1024,16,564416
Linear,1024,16,275333
BruteForce,1024,32,1324250
Heap,1024,32,504625
BST,1024,32,586166
Linear,1024,32,245625
BruteForce,1024,64,1961166
Heap,1024,64,454625
BST,1024,64,768291
Linear,1024,64,219750
BruteForce,1024,128,3555250
Heap,1024,128,451541
BST,1024,128,1235708
Linear,1024,128,216166
BruteForce,1024,256,6008083
Heap,1024,256,445333
BST,1024,256,1991375
Linear,1024,256,208833
BruteForce,1024,512,7952250
Heap,1024,512,432500
BST,1024,512,2953166
Linear,1024,512,194375
BruteForce,1024,1024,31166
Heap,1024,1024,407208
BST,1024,1024,2676375
Linear,1024,1024,162125
BruteForce,2048,8,729250
Heap,2048,8,961458
BST,2048,8,626250
Linear,2048,8,442666
BruteForce,2048,16,1215541
Heap,2048,16,961708
BST,2048,16,808125
Linear,2048,16,442166
BruteForce,2048,32,2176125
Heap,2048,32,961666
BST,2048,32,1063000
Linear,2048,32,441666
BruteForce,2048,64,4065166
Heap,2048,64,958166
BST,2048,64,1571041
Linear,2048,64,439500
BruteForce,2048,128,7628041
Heap,2048,128,958125
BST,2048,128,2571625
Linear,2048,128,436083
BruteForce,2048,256,14008958
Heap,2048,256,951208
BST,2048,256,4364541
Linear,2048,256,428500
BruteForce,2048,512,23832083
Heap,2048,512,939041
BST,2048,512,7429375
Linear,2048,512,414083
BruteForce,2048,1024,31668458
Heap,2048,1024,913791
BST,2048,1024,11283541
Linear,2048,1024,385666
BruteForce,4096,8,1461625
Heap,4096,8,2026583
BST,4096,8,1255875
Linear,4096,8,881250
BruteForce,4096,16,2438541
Heap,4096,16,2025375
BST,4096,16,1618791
Linear,4096,16,880875
BruteForce,4096,32,4385833
Heap,4096,32,2024833
BST,4096,32,2135708
Linear,4096,32,880125
BruteForce,4096,64,8231791
Heap,4096,64,2020291
BST,4096,64,3150958
Linear,4096,64,878041
BruteForce,4096,128,15735791
Heap,4096,128,2022416
BST,4096,128,5245125
Linear,4096,128,874541
BruteForce,4096,256,30022666
Heap,4096,256,2016500
BST,4096,256,9118041
Linear,4096,256,867458
BruteForce,4096,512,55609791
Heap,4096,512,2004208
BST,4096,512,16305375
Linear,4096,512,853166
BruteForce,4096,1024,94981125
Heap,4096,1024,1976833
BST,4096,1024,28471000
Linear,4096,1024,824125
BruteForce,8192,8,2924750
Heap,8192,8,4252166
BST,8192,8,2512416
Linear,8192,8,1758916
BruteForce,8192,16,4890500
Heap,8192,16,4246625
BST,8192,16,3240708
Linear,8192,16,1758166
BruteForce,8192,32,8803833
Heap,8192,32,4245625
BST,8192,32,4274375
Linear,8192,32,1757625
BruteForce,8192,64,16590708
Heap,8192,64,4251208
BST,8192,64,6330000
Linear,8192,64,1755958
BruteForce,8192,128,31971125
Heap,8192,128,4249166
BST,8192,128,10604666
Linear,8192,128,1752333
BruteForce,8192,256,62026625
Heap,8192,256,4240916
BST,8192,256,18627041
Linear,8192,256,1744708
BruteForce,8192,512,119219375
Heap,8192,512,4231875
BST,8192,512,34101083
Linear,8192,512,1730625
BruteForce,8192,1024,221572000
Heap,8192,1024,4213166
BST,8192,1024,62876833
Linear,8192,1024,1701625
BruteForce,16384,8,5853833
Heap,16384,8,8896500
BST,16384,8,5019833
Linear,16384,8,3514666
BruteForce,16384,16,9790541
Heap,16384,16,8905500
BST,16384,16,6484833
Linear,16384,16,3516291
BruteForce,16384,32,17653500
Heap,16384,32,8899250
BST,16384,32,8561708
Linear,16384,32,3512916
BruteForce,16384,64,33325333
Heap,16384,64,8893583
BST,16384,64,12691458
Linear,16384,64,3511083
BruteForce,16384,128,64479416
Heap,16384,128,8888666
BST,16384,128,21294500
Linear,16384,128,3506958
BruteForce,16384,256,126060791
Heap,16384,256,8880500
BST,16384,256,37648541
Linear,16384,256,3500666
BruteForce,16384,512,246390750
Heap,16384,512,8873083
BST,16384,512,69700333
Linear,16384,512,3485916
BruteForce,16384,1024,474801750
Heap,16384,1024,8843958
BST,16384,1024,131728916
Linear,16384,1024,3461625
BruteForce,32768,8,11726791
Heap,32768,8,18633791
BST,32768,8,10069500
Linear,32768,8,7091875
BruteForce,32768,16,19665000
Heap,32768,16,18651666
BST,32768,16,13040500
Linear,32768,16,7031625
BruteForce,32768,32,35675583
Heap,32768,32,18750750
BST,32768,32,17224333
Linear,32768,32,7028500
BruteForce,32768,64,67086416
Heap,32768,64,18730458
BST,32768,64,25633333
Linear,32768,64,7069000
BruteForce,32768,128,130700500
Heap,32768,128,18789125
BST,32768,128,42833708
Linear,32768,128,7033541
BruteForce,32768,256,255270458
Heap,32768,256,18633833
BST,32768,256,75908750
Linear,32768,256,7014833
BruteForce,32768,512,503305791
Heap,32768,512,18688041
BST,32768,512,141243250
Linear,32768,512,7015125
BruteForce,32768,1024,981565208
Heap,32768,1024,18703291
BST,32768,1024,270127625
Linear,32768,1024,6971916
BruteForce,65536,8,23431375
Heap,65536,8,39233083
BST,65536,8,20112583
Linear,65536,8,14069916
BruteForce,65536,16,39224000
Heap,65536,16,39208666
BST,65536,16,26019458
Linear,65536,16,14068000
BruteForce,65536,32,70872208
Heap,65536,32,38939166
BST,65536,32,34496041
Linear,65536,32,14063416
BruteForce,65536,64,135061791
Heap,65536,64,39354041
BST,65536,64,51134291
Linear,65536,64,14253083
BruteForce,65536,128,260809291
Heap,65536,128,38980625
BST,65536,128,85961250
Linear,65536,128,14155041
BruteForce,65536,256,511942875
Heap,65536,256,39234583
BST,65536,256,153610916
Linear,65536,256,14157166
BruteForce,65536,512,1010245041
Heap,65536,512,39411916
BST,65536,512,284958750
Linear,65536,512,14107125
BruteForce,65536,1024,1997794166
Heap,65536,1024,38762416
BST,65536,1024,544804250
Linear,65536,1024,13985125
BruteForce,131072,8,47236375
Heap,131072,8,82002833
BST,131072,8,40421000
Linear,131072,8,28365375
BruteForce,131072,16,78483583
Heap,131072,16,81617000
BST,131072,16,52304583
Linear,131072,16,28255458
BruteForce,131072,32,142531500
Heap,131072,32,81766875
BST,131072,32,68643041
Linear,131072,32,28089083
BruteForce,131072,64,268436416
Heap,131072,64,81407041
BST,131072,64,101672458
Linear,131072,64,28123666
BruteForce,131072,128,519850291
Heap,131072,128,81550625
BST,131072,128,171556208
Linear,131072,128,28195875
BruteForce,131072,256,1025521666
Heap,131072,256,81265916
BST,131072,256,304629875
Linear,131072,256,28275583
BruteForce,131072,512,2038250583
Heap,131072,512,81338291
BST,131072,512,570698041
Linear,131072,512,28178416
