Method,n,k,elapsed
BruteForce,1024,8,961375
Heap,1024,8,1305666
BST,1024,8,573666
Linear,1024,8,422333
BruteForce,1024,16,955583
Heap,1024,16,655458
BST,1024,16,467708
Linear,1024,16,381541
BruteForce,1024,32,1345500
Heap,1024,32,490708
BST,1024,32,400166
Linear,1024,32,311125
BruteForce,1024,64,2202750
Heap,1024,64,348916
BST,1024,64,418458
Linear,1024,64,310416
BruteForce,1024,128,3968416
Heap,1024,128,311333
BST,1024,128,431416
Linear,1024,128,307916
BruteForce,1024,256,6664583
Heap,1024,256,294500
BST,1024,256,431208
Linear,1024,256,300541
BruteForce,1024,512,8807208
Heap,1024,512,283750
BST,1024,512,418500
Linear,1024,512,286125
BruteForce,1024,1024,34458
Heap,1024,1024,258541
BST,1024,1024,326708
Linear,1024,1024,253291
BruteForce,2048,8,827625
Heap,2048,8,1643708
BST,2048,8,715291
Linear,2048,8,598416
BruteForce,2048,16,1378666
Heap,2048,16,1182083
BST,2048,16,766875
Linear,2048,16,615583
BruteForce,2048,32,2465875
Heap,2048,32,874583
BST,2048,32,803916
Linear,2048,32,620291
BruteForce,2048,64,4546875
Heap,2048,64,742125
BST,2048,64,844250
Linear,2048,64,621041
BruteForce,2048,128,8497291
Heap,2048,128,690166
BST,2048,128,873000
Linear,2048,128,620250
BruteForce,2048,256,15542666
Heap,2048,256,612916
BST,2048,256,920166
Linear,2048,256,612708
BruteForce,2048,512,26386333
Heap,2048,512,600708
BST,2048,512,919125
Linear,2048,512,599958
BruteForce,2048,1024,34998208
Heap,2048,1024,556000
BST,2048,1024,841750
Linear,2048,1024,570583
BruteForce,4096,8,1661000
Heap,4096,8,3545875
BST,4096,8,1437250
Linear,4096,8,1195750
BruteForce,4096,16,2771625
Heap,4096,16,2755750
BST,4096,16,1529125
Linear,4096,16,1227083
BruteForce,4096,32,4956875
Heap,4096,32,1920416
BST,4096,32,1616458
Linear,4096,32,1238708
BruteForce,4096,64,9239500
Heap,4096,64,1627833
BST,4096,64,1709541
Linear,4096,64,1246166
BruteForce,4096,128,17550625
Heap,4096,128,1395333
BST,4096,128,1776208
Linear,4096,128,1244083
BruteForce,4096,256,33324083
Heap,4096,256,1250000
BST,4096,256,1879708
Linear,4096,256,1240083
BruteForce,4096,512,61580416
Heap,4096,512,1205958
BST,4096,512,1915250
Linear,4096,512,1226083
BruteForce,4096,1024,105022416
Heap,4096,1024,1180958
BST,4096,1024,1955875
Linear,4096,1024,1197333
BruteForce,8192,8,3318208
Heap,8192,8,7533458
BST,8192,8,2870625
Linear,8192,8,2389833
BruteForce,8192,16,5557458
Heap,8192,16,4993125
BST,8192,16,3056208
Linear,8192,16,2457000
BruteForce,8192,32,9959375
Heap,8192,32,3958458
BST,8192,32,3236625
Linear,8192,32,2487625
BruteForce,8192,64,18624708
Heap,8192,64,3159375
BST,8192,64,3414166
Linear,8192,64,2491916
BruteForce,8192,128,35678375
Heap,8192,128,2754625
BST,8192,128,3583291
Linear,8192,128,2495208
BruteForce,8192,256,68901583
Heap,8192,256,2640500
BST,8192,256,3827666
Linear,8192,256,2491708
BruteForce,8192,512,131875125
Heap,8192,512,2462875
BST,8192,512,3890583
Linear,8192,512,2477458
BruteForce,8192,1024,244816208
Heap,8192,1024,2403000
BST,8192,1024,4000125
Linear,8192,1024,2448250
BruteForce,16384,8,6628375
Heap,16384,8,15059791
BST,16384,8,5757208
Linear,16384,8,4760166
BruteForce,16384,16,11130041
Heap,16384,16,11384041
BST,16384,16,6121458
Linear,16384,16,4881208
BruteForce,16384,32,19968666
Heap,16384,32,8141000
BST,16384,32,6459166
Linear,16384,32,4936750
BruteForce,16384,64,37427083
Heap,16384,64,6514000
BST,16384,64,6815416
Linear,16384,64,4968916
BruteForce,16384,128,71914041
Heap,16384,128,6072416
BST,16384,128,7210958
Linear,16384,128,4996375
BruteForce,16384,256,140037083
Heap,16384,256,5224750
BST,16384,256,7573583
Linear,16384,256,4992375
BruteForce,16384,512,274443208
Heap,16384,512,5018750
BST,16384,512,8035666
Linear,16384,512,4995291
BruteForce,16384,1024,525760375
Heap,16384,1024,4881916
BST,16384,1024,8253666
Linear,16384,1024,4968333
BruteForce,32768,8,13305166
Heap,32768,8,33505666
BST,32768,8,11477125
Linear,32768,8,9540000
BruteForce,32768,16,22269250
Heap,32768,16,24759333
BST,32768,16,12261833
Linear,32768,16,9784916
BruteForce,32768,32,40160750
Heap,32768,32,17999000
BST,32768,32,13000375
Linear,32768,32,10003541
BruteForce,32768,64,75660958
Heap,32768,64,13604541
BST,32768,64,13692291
Linear,32768,64,10035708
BruteForce,32768,128,144970541
Heap,32768,128,11796083
BST,32768,128,14408958
Linear,32768,128,10062166
BruteForce,32768,256,283107250
Heap,32768,256,10541791
BST,32768,256,15135541
Linear,32768,256,10001083
BruteForce,32768,512,558352291
Heap,32768,512,10109958
BST,32768,512,15882416
Linear,32768,512,10031708
BruteForce,32768,1024,1084806791
Heap,32768,1024,9830875
BST,32768,1024,16578125
Linear,32768,1024,9942750
BruteForce,65536,8,26570500
Heap,65536,8,67397666
BST,65536,8,23067791
Linear,65536,8,19295083
BruteForce,65536,16,44588666
Heap,65536,16,48734916
BST,65536,16,24493541
Linear,65536,16,19545958
BruteForce,65536,32,79976708
Heap,65536,32,37424166
BST,65536,32,25822791
Linear,65536,32,19833958
BruteForce,65536,64,150054208
Heap,65536,64,28681916
BST,65536,64,27238375
Linear,65536,64,19941791
BruteForce,65536,128,289381000
Heap,65536,128,24021250
BST,65536,128,28803625
Linear,65536,128,19975666
BruteForce,65536,256,566408208
Heap,65536,256,21495125
BST,65536,256,30388333
Linear,65536,256,20078208
BruteForce,65536,512,1117153416
Heap,65536,512,20544916
BST,65536,512,32342791
Linear,65536,512,20236125
BruteForce,65536,1024,2207232250
Heap,65536,1024,19887666
BST,65536,1024,33839041
Linear,65536,1024,20019916
BruteForce,131072,8,53296166
Heap,131072,8,146351541
BST,131072,8,46118208
Linear,131072,8,38281458
BruteForce,131072,16,89253083
Heap,131072,16,106554083
BST,131072,16,48988833
Linear,131072,16,39169833
BruteForce,131072,32,160145250
Heap,131072,32,79115041
BST,131072,32,51725875
Linear,131072,32,39638125
BruteForce,131072,64,300871708
Heap,131072,64,66884208
BST,131072,64,55087500
Linear,131072,64,40236083
BruteForce,131072,128,581941166
Heap,131072,128,51234291
BST,131072,128,57723250
Linear,131072,128,39981875
BruteForce,131072,256,1138184791
Heap,131072,256,44460833
BST,131072,256,61246833
Linear,131072,256,40189208
BruteForce,131072,512,2243096000
Heap,131072,512,41301375
BST,131072,512,64230166
Linear,131072,512,40062625
BruteForce,131072,1024,4442823125
Heap,131072,1024,40391125
BST,131072,1024,66772583
Linear,131072,1024,40404375
