Method,n,k,elapsed
BruteForce,1024,8,10708
Heap,1024,8,57583
BST,1024,8,169125
Linear,1024,8,17750
BruteForce,1024,16,26750
Heap,1024,16,41916
BST,1024,16,198416
Linear,1024,16,19708
BruteForce,1024,32,76958
Heap,1024,32,25666
BST,1024,32,226875
Linear,1024,32,19166
BruteForce,1024,64,169416
Heap,1024,64,18041
BST,1024,64,199750
Linear,1024,64,16083
BruteForce,1024,128,430041
Heap,1024,128,10791
BST,1024,128,224375
Linear,1024,128,17666
BruteForce,1024,256,701166
Heap,1024,256,9125
BST,1024,256,205541
Linear,1024,256,14833
BruteForce,1024,512,856750
Heap,1024,512,10250
BST,1024,512,187500
Linear,1024,512,12708
BruteForce,1024,1024,3458
Heap,1024,1024,12500
BST,1024,1024,195791
Linear,1024,1024,10375
BruteForce,2048,8,12708
Heap,2048,8,103083
BST,2048,8,213458
Linear,2048,8,27458
BruteForce,2048,16,32291
Heap,2048,16,61166
BST,2048,16,230833
Linear,2048,16,26250
BruteForce,2048,32,83333
Heap,2048,32,47333
BST,2048,32,259166
Linear,2048,32,27625
BruteForce,2048,64,228875
Heap,2048,64,24458
BST,2048,64,285375
Linear,2048,64,25708
BruteForce,2048,128,543541
Heap,2048,128,18000
BST,2048,128,279083
Linear,2048,128,23583
BruteForce,2048,256,1018000
Heap,2048,256,25750
BST,2048,256,261000
Linear,2048,256,21708
BruteForce,2048,512,1837041
Heap,2048,512,16000
BST,2048,512,281541
Linear,2048,512,20666
BruteForce,2048,1024,2511625
Heap,2048,1024,14000
BST,2048,1024,282208
Linear,2048,1024,21333
BruteForce,4096,8,18208
Heap,4096,8,188125
BST,4096,8,326708
Linear,4096,8,47250
BruteForce,4096,16,46458
Heap,4096,16,139625
BST,4096,16,384166
Linear,4096,16,51791
BruteForce,4096,32,135875
Heap,4096,32,92375
BST,4096,32,437250
Linear,4096,32,52125
BruteForce,4096,64,375916
Heap,4096,64,79375
BST,4096,64,468875
Linear,4096,64,52041
BruteForce,4096,128,1007750
Heap,4096,128,69875
BST,4096,128,520583
Linear,4096,128,44875
BruteForce,4096,256,2180750
Heap,4096,256,56750
BST,4096,256,560000
Linear,4096,256,46333
BruteForce,4096,512,4285291
Heap,4096,512,55166
BST,4096,512,566000
Linear,4096,512,43875
BruteForce,4096,1024,7535333
Heap,4096,1024,55041
BST,4096,1024,597916
Linear,4096,1024,44250
BruteForce,8192,8,36458
Heap,8192,8,416375
BST,8192,8,667625
Linear,8192,8,105291
BruteForce,8192,16,93000
Heap,8192,16,299583
BST,8192,16,801458
Linear,8192,16,110541
BruteForce,8192,32,272708
Heap,8192,32,229416
BST,8192,32,891166
Linear,8192,32,107041
BruteForce,8192,64,757916
Heap,8192,64,166125
BST,8192,64,981208
Linear,8192,64,102208
BruteForce,8192,128,2052875
Heap,8192,128,147166
BST,8192,128,1066166
Linear,8192,128,108541
BruteForce,8192,256,4511916
Heap,8192,256,133041
BST,8192,256,1161458
Linear,8192,256,108666
BruteForce,8192,512,9204833
Heap,8192,512,125708
BST,8192,512,1197916
Linear,8192,512,102291
BruteForce,8192,1024,17571958
Heap,8192,1024,123541
BST,8192,1024,1282916
Linear,8192,1024,109750
BruteForce,16384,8,73333
Heap,16384,8,879666
BST,16384,8,1340791
Linear,16384,8,224875
BruteForce,16384,16,186833
Heap,16384,16,615208
BST,16384,16,1606000
Linear,16384,16,228291
BruteForce,16384,32,547000
Heap,16384,32,439291
BST,16384,32,1808166
Linear,16384,32,226333
BruteForce,16384,64,1521875
Heap,16384,64,351208
BST,16384,64,1969458
Linear,16384,64,218875
BruteForce,16384,128,4131250
Heap,16384,128,307875
BST,16384,128,2120375
Linear,16384,128,222166
BruteForce,16384,256,9157583
Heap,16384,256,282583
BST,16384,256,2297291
Linear,16384,256,224375
BruteForce,16384,512,18982583
Heap,16384,512,261083
BST,16384,512,2419416
Linear,16384,512,217291
BruteForce,16384,1024,37664833
Heap,16384,1024,251166
BST,16384,1024,2605500
Linear,16384,1024,223166
BruteForce,32768,8,145875
Heap,32768,8,1880833
BST,32768,8,2684250
Linear,32768,8,445833
BruteForce,32768,16,373583
Heap,32768,16,1484000
BST,32768,16,3216416
Linear,32768,16,461416
BruteForce,32768,32,1094916
Heap,32768,32,978250
BST,32768,32,3611416
Linear,32768,32,449875
BruteForce,32768,64,3050166
Heap,32768,64,808083
BST,32768,64,3965250
Linear,32768,64,455750
BruteForce,32768,128,8292125
Heap,32768,128,652166
BST,32768,128,4221291
Linear,32768,128,447875
BruteForce,32768,256,18464083
Heap,32768,256,558000
BST,32768,256,4527541
Linear,32768,256,446291
BruteForce,32768,512,38593916
Heap,32768,512,534333
BST,32768,512,4940666
Linear,32768,512,450916
BruteForce,32768,1024,77854958
Heap,32768,1024,519500
BST,32768,1024,5183875
Linear,32768,1024,448458
BruteForce,65536,8,291666
Heap,65536,8,4259750
BST,65536,8,5365125
Linear,65536,8,896625
BruteForce,65536,16,747583
Heap,65536,16,3314166
BST,65536,16,6448708
Linear,65536,16,938625
BruteForce,65536,32,2191416
Heap,65536,32,2216000
BST,65536,32,7234291
Linear,65536,32,918000
BruteForce,65536,64,6106625
Heap,65536,64,1708708
BST,65536,64,7904125
Linear,65536,64,905541
BruteForce,65536,128,16624125
Heap,65536,128,1271458
BST,65536,128,8468750
Linear,65536,128,921500
BruteForce,65536,256,37090458
Heap,65536,256,1179416
BST,65536,256,9049583
Linear,65536,256,899458
BruteForce,65536,512,77816250
Heap,65536,512,1139625
BST,65536,512,9738500
Linear,65536,512,911333
BruteForce,65536,1024,158214791
Heap,65536,1024,1075833
BST,65536,1024,10469541
Linear,65536,1024,905958
BruteForce,131072,8,584208
Heap,131072,8,9315708
BST,131072,8,10838666
Linear,131072,8,1797708
BruteForce,131072,16,1513166
Heap,131072,16,7252041
BST,131072,16,12953208
Linear,131072,16,1862041
BruteForce,131072,32,4384875
Heap,131072,32,4631958
BST,131072,32,14532625
Linear,131072,32,1827500
BruteForce,131072,64,12223875
Heap,131072,64,3648083
BST,131072,64,15808958
Linear,131072,64,1825208
BruteForce,131072,128,33278500
Heap,131072,128,2908458
BST,131072,128,16979375
Linear,131072,128,1824416
BruteForce,131072,256,74336208
Heap,131072,256,2525666
BST,131072,256,17980833
Linear,131072,256,1823250
BruteForce,131072,512,156149958
Heap,131072,512,2382000
BST,131072,512,19356583
Linear,131072,512,1814416
BruteForce,131072,1024,318966375
Heap,131072,1024,2305708
BST,131072,1024,20931791
Linear,131072,1024,1805416
